Color.Name,Hex.Code,Dec.Code,X.Code,HSL.Code,CMYK.Code
gray40 (Safe Hex3),#666666,"rgb(102, 102, 102)","rgb(40%, 40%, 40%)","hsl(0, 0%, 40%)","cmyk(0%, 0%, 0%, 60%)"
dimgray (SVG),#696969,"rgb(105, 105, 105)","rgb(41%, 41%, 41%)","hsl(0, 0%, 41%)","cmyk(0%, 0%, 0%, 59%)"
dimgrey (SVG),#696969,"rgb(105, 105, 105)","rgb(41%, 41%, 41%)","hsl(0, 0%, 41%)","cmyk(0%, 0%, 0%, 59%)"
gray42,#6B6B6B,"rgb(107, 107, 107)","rgb(42%, 42%, 42%)","hsl(0, 0%, 42%)","cmyk(0%, 0%, 0%, 58%)"
gray43,#6E6E6E,"rgb(110, 110, 110)","rgb(43%, 43%, 43%)","hsl(0, 0%, 43%)","cmyk(0%, 0%, 0%, 57%)"
gray44,#707070,"rgb(112, 112, 112)","rgb(44%, 44%, 44%)","hsl(0, 0%, 44%)","cmyk(0%, 0%, 0%, 56%)"
gray45,#737373,"rgb(115, 115, 115)","rgb(45%, 45%, 45%)","hsl(0, 0%, 45%)","cmyk(0%, 0%, 0%, 55%)"
gray46,#757575,"rgb(117, 117, 117)","rgb(46%, 46%, 46%)","hsl(0, 0%, 46%)","cmyk(0%, 0%, 0%, 54%)"
gray47,#787878,"rgb(120, 120, 120)","rgb(47%, 47%, 47%)","hsl(0, 0%, 47%)","cmyk(0%, 0%, 0%, 53%)"
gray48,#7A7A7A,"rgb(122, 122, 122)","rgb(48%, 48%, 48%)","hsl(0, 0%, 48%)","cmyk(0%, 0%, 0%, 52%)"
gray49,#7D7D7D,"rgb(125, 125, 125)","rgb(49%, 49%, 49%)","hsl(0, 0%, 49%)","cmyk(0%, 0%, 0%, 51%)"
grey (16 SVG),#808080,"rgb(128, 128, 128)","rgb(50%, 50%, 50%)","hsl(0, 0%, 50%)","cmyk(0%, 0%, 0%, 50%)"
gray50,#7F7F7F,"rgb(127, 127, 127)","rgb(50%, 50%, 50%)","hsl(0, 0%, 50%)","cmyk(0%, 0%, 0%, 50%)"
gray (16 SVG),#808080,"rgb(128, 128, 128)","rgb(50%, 50%, 50%)","hsl(0, 0%, 50%)","cmyk(0%, 0%, 0%, 50%)"
gray51,#828282,"rgb(130, 130, 130)","rgb(51%, 51%, 51%)","hsl(0, 0%, 51%)","cmyk(0%, 0%, 0%, 49%)"
gray52,#858585,"rgb(133, 133, 133)","rgb(52%, 52%, 52%)","hsl(0, 0%, 52%)","cmyk(0%, 0%, 0%, 48%)"
gray53,#878787,"rgb(135, 135, 135)","rgb(53%, 53%, 53%)","hsl(0, 0%, 53%)","cmyk(0%, 0%, 0%, 47%)"
gray54,#8A8A8A,"rgb(138, 138, 138)","rgb(54%, 54%, 54%)","hsl(0, 0%, 54%)","cmyk(0%, 0%, 0%, 46%)"
gray55,#8C8C8C,"rgb(140, 140, 140)","rgb(55%, 55%, 55%)","hsl(0, 0%, 55%)","cmyk(0%, 0%, 0%, 45%)"
